Date,GBP_USD
5/9/2006,1.867588
5/10/2006,1.862614
5/11/2006,1.885014
5/12/2006,1.895088
5/15/2006,1.876313
5/16/2006,1.887398
5/17/2006,1.882495
5/18/2006,1.893294
5/19/2006,1.880017
5/22/2006,1.885085
5/23/2006,1.877088
5/24/2006,1.871293
5/25/2006,1.87561
5/26/2006,1.859704
5/29/2006,1.859911
5/30/2006,1.881715
5/31/2006,1.871608
6/1/2006,1.866403
6/2/2006,1.882211
6/5/2006,1.871398
6/6/2006,1.860915
6/7/2006,1.857217
6/8/2006,1.843114
6/9/2006,1.840705
6/12/2006,1.84179
6/13/2006,1.833786
6/14/2006,1.844916
6/15/2006,1.850002
6/16/2006,1.848497
6/19/2006,1.840909
6/20/2006,1.843386
6/21/2006,1.845086
6/22/2006,1.828387
6/23/2006,1.820499
6/26/2006,1.823487
6/27/2006,1.820897
6/28/2006,1.817884
6/29/2006,1.828287
6/30/2006,1.84901
7/3/2006,1.842401
7/4/2006,1.844984
7/5/2006,1.835705
7/6/2006,1.837492
7/7/2006,1.851406
7/10/2006,1.843114
7/11/2006,1.845086
7/12/2006,1.835098
7/13/2006,1.844406
7/14/2006,1.836514
7/17/2006,1.819604
7/18/2006,1.825584
7/19/2006,1.84291
7/20/2006,1.849283
7/21/2006,1.858701
7/24/2006,1.849694
7/25/2006,1.84101
7/26/2006,1.854393
7/27/2006,1.858011
7/28/2006,1.865011
7/31/2006,1.868216
8/1/2006,1.875997
8/2/2006,1.878111
8/3/2006,1.887184
8/4/2006,1.909782
8/7/2006,1.904798
8/8/2006,1.89811
8/9/2006,1.906287
8/10/2006,1.894334
8/11/2006,1.890788
8/14/2006,1.888503
8/15/2006,1.894585
8/16/2006,1.89631
8/17/2006,1.885298
8/18/2006,1.881715
8/21/2006,1.891611
8/22/2006,1.888788
8/23/2006,1.892112
8/24/2006,1.888111
8/25/2006,1.888004
8/28/2006,1.895088
8/29/2006,1.899696
8/30/2006,1.905089
8/31/2006,1.903094
9/1/2006,1.905996
9/4/2006,1.905597
9/5/2006,1.895016
9/6/2006,1.88601
9/7/2006,1.875785
9/8/2006,1.866089
9/11/2006,1.866089
9/12/2006,1.875399
9/13/2006,1.877687
9/14/2006,1.885903
9/15/2006,1.877899
